Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,A8,10512,5641,7133,3142.11,50.11,47.58
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,B5,10374,75512,85595,30506.78,38.23,36.67
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,B6,15002,54867,99978,49729.02,86.92,119.17
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,B7,9968,8165,8540,4474.34,48.95,48.15
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,B8,11094,5529,6232,3099.69,50.46,47.19
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,C5,11493,85874,99779,47671.88,54.49,49.43
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,C6,11666,64214,97377,59903.49,90.25,124.11
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,C7,10669,7384,6907,4143.12,49.91,47.83
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,C8,9665,5566,6704,3475.05,55.14,50.93
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,D5,13398,81887,90133,39793.98,47.96,41.04
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,D7,13590,6336,6702,3632.64,51.01,44.81
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,E5,10908,81478,87698,48889.41,59.07,53.59
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,E7,11150,7217,8119,4027.56,50.08,47.52
Rep4-H2O2-Ctrl,d062721-120min-H2O2-M24KO-R4,120min,F5,11651,66188,99825,55461.49,82.06,110.67
